HITId,AssignmentId,WorkerId,AssignmentStatus,AutoApprovalTime,AcceptTime,SubmitTime,ApprovalTime,RejectionTime,Deadline,RequesterFeedback,feedback,submit
27QH88MQU6L9TP0ZXUIX64AIJVEBUU,2GZD1X3V0FK4H2PPY7SMGPKKAQVLEI,A3NH3DYXA6U9RY,Approved,2013-03-24T20:02:41Z,2013-03-24T20:00:59Z,2013-03-24T20:02:41Z,2013-03-24T20:03:40Z,,,,"[""Very interesting""]","[""Submit""]"
27QH88MQU6L9TP0ZXUIX64AIJVEBUU,2ZYAUC26DG6BIF2QAT6K9COK3OI5CL,A1BNZYZSOTHCTF,Approved,2013-03-24T20:16:57Z,2013-03-24T20:13:58Z,2013-03-24T20:16:57Z,2013-03-24T20:18:41Z,,,,"[""the story is about romeo and juliet. this was fun!""]","[""Submit""]"

